#Auto-generated file. Do not edit.,,,,,,,,,,
$Basic,----------------------------------------------------------------------,,,,,,,,,
Category,Id,Text00,Text01,Text02,Text03,Text04,Text05,Text06,Text001,Text011
ADMINCMD,SET_ANIMA_STATE,SET_ANIMA_STATE,SET_ANIMA_STATE [0/1/2],"Sets Anima's state.
0 = Deactivated
1 = Following the player
2 = Ghost state",You cannot use the command while you are dead or in Gigas state.,,,,,
ADMINCMD,CLEAR_GADGET,CLEAR_GADGET,"CLEAR_GADGET
CLEAR_GADGET [Radius]","Deletes Gadgets within a given radius of the character.
Default radius is 30 meters.",,,,,,
ADMINCMD,LOAD_MAIL,LOAD_MAIL,LOAD_MAIL,Loads mail.,,,,,,
ADMINCMD,OPEN_CONQUEST,OPEN_CONQUEST,"OPEN_CONQUEST [Zone ID]
OPEN_CONQUEST [Zone ID] [Minute]","Opens the occupied dungeon.
If you do not specify time, the dungeon will be open for default time (2 hours).
You can set the time from 10 to 240 minutes.",,,,,,
ADMINCMD,CLOSE_CONQUEST,CLOSE_CONQUEST,CLOSE_CONQUEST [Zone ID],Closes the occupied dungeon.,,,,,,
ADMINCMD,TRACE_GADGET,TRACE_GADGET,TRACE_GADGET [Gadget name],Moves to where the specified Gadget is.,The specified Gadget is not found.,,,,,
ADMINCMD,ADD_MILEAGE,ADD_MILEAGE,ADD_MILEAGE [Mileage],Adds mileage.,You cannot add mileage anymore.,,,,,
ADMINCMD,ACTIVATE_AUTO_BLOCK,ACTIVATE_AUTO_BLOCK,ACTIVATE_AUTO_BLOCK [0/1],Activates or deactivates the automatic account blocking.,,,,,,
ADMINCMD,FINISH_CRAFT,FINISH_CRAFT,FINISH_CRAFT,Completes the cultivation of all crops.,You cannot complete the cultivation.,,,,,
ADMINCMD,DND,DND,DND [0/1],Blocks Whispers.,,,,,,
ADMINCMD,ADD_GUILD_LEVEL,ADD_GUILD_LEVEL,ADD_GUILD_LEVEL,Raises the guild's level.,The guild's level is already full.,,,,,
ADMINCMD,ADD_PROFESSION,ADD_PROFESSION,ADD_PROFESSION [COLLECTING/CRAFT/PURIFICATION/TAMING/COOKING/MINING],Adds Anima Knowledge.,You cannot add Anima Knowledge.,,,,,
ADMINCMD,ADD_RECIPE,ADD_RECIPE,ADD_RECIPE [Recipe ID],Adds a Recipe.,You cannot add a Recipe.,,,,,
ADMINCMD,SET_CURRENT_EMOTION,SET_CURRENT_EMOTION,SET_CURRENT_EMOTION [CURIOSITY/LOVE/DELIGHT/PLEASURE/FEAR/DISLIKE/ANGER/SADNESS],Sets the current emotion.,You cannot set the current emotion.,,,,,
ADMINCMD,SET_ANIMA_TRANSFORM_ENABLED,SET_ANIMA_TRANSFORM_ENABLED,SET_ANIMA_TRANSFORM_ENABLED [0/1],Sets the transformable state.,You cannot set the transformable state.,,,,,
ADMINCMD,ADD_EMOTION,ADD_EMOTION,ADD_EMOTION [CURIOSITY/LOVE/DELIGHT/PLEASURE/FEAR/DISLIKE/ANGER/SADNESS],Adds an emotion.,You cannot add an emotion.,,,,,
ADMINCMD,ADD_ALL_EMOTION,ADD_ALL_EMOTION,ADD_ALL_EMOTION,Adds all emotions.,You cannot add all emotions.,,,,,
ADMINCMD,SET_ALL_EMOTION_MAX_VALUE,SET_ALL_EMOTION_MAX_VALUE,SET_ALL_EMOTION_MAX_VALUE,Opens emotions.,You cannot open emotions.,,,,,
ADMINCMD,CHECK_MACRO,CHECK_MACRO,CHECK_MACRO [Character name],Shows the Confirm Auto window.,The specified player does not exist.,,,,,
ADMINCMD,TRANSFORM_ANIMA,TRANSFORM_ANIMA,TRANSFORM_ANIMA [0/1],Transforms Anima.,You cannot transform Anima.,,,,,
ADMINCMD,CLEAR_ANIMA_EMOTION_STATE,CLEAR_ANIMA_EMOTION_STATE,CLEAR_ANIMA_EMOTION_STATE,Initializes the emotional state.,You cannot initialize the emotional state.,,,,,
ADMINCMD,PICK_RANDOM_PC,PICK_RANDOM_PC,PICK_RANDOM_PC,Randomly draws one of the players currently online and displays him or her on the screen.,,,,,,
ADMINCMD,GIVE_BUFF,GIVE_BUFF,GIVE_BUFF [0/1/2],Gives buffs to currently online players.,Unknown buff.,,,,,
ADMINCMD,SET_GUILD_WAR_SCHEDULE,SET_GUILD_WAR_SCHEDULE,SET_GUILD_WAR_SCHEDULE [0/1],Proceed the Guild War progress status to the next step. You can use this command only in the test mode.,You are not in the test mode.,,,,,
ADMINCMD,PROMOTE,PROMOTE,PROMOTE [0/1/2],"Changes your class or cancels the class change command.
0 = Cancel class change
1 = Change to the first class
2 = Change to the second class","You are dead, you are in Gigas state, or you have chosen a wrong class.",,,,,
ADMINCMD,SET_PC_NAME_CHANGE,SET_PC_NAME_CHANGE,SET_PC_NAME_CHANGE [0/1],Sets whether the player's name must be changed or not.,,,,,,
ADMINCMD,SET_GUILD_WAR_VICTORY,SET_GUILD_WAR_VICTORY,SET_GUILD_WAR_VICTORY,Enables the administrator's guild to win the Guild War.,The administrator is not engaged in the Guild War.,,,,,
ADMINCMD,CLEAR_STORAGE,CLEAR_STORAGE,CLEAR_STORAGE [0/1/2/3/4],"Clears the inventory.
0 = Basic inventory
1 = Secondary inventory
2 = PC room inventory
3 = Quest inventory
4 = Storage",,,,,,
ADMINCMD,CLEAR_PREMIUM_SERVICE,CLEAR_PREMIUM_SERVICE,CLEAR_PREMIUM_SERVICE,Initializes the Premium Service state.,,,,,,
ADMINCMD,ADD_PREMIUM_SERVICE,ADD_PREMIUM_SERVICE,ADD_PREMIUM_SERVICE [0~18] [Seconds] [Count],Adds a Premium Service.,Invalid service type.,,,,,
ADMINCMD,CHANGE_GUILD_WAR_SCORE,CHANGE_GUILD_WAR_SCORE,CHANGE_GUILD_WAR_SCORE [Guild name] [Score],Updates the Guild War scores. The score can be increased or decreased.,No Guild War is in progress or the specified guild is not found.,,,,,
ADMINCMD,CHANGE_GUILD_WAR_SPOT_OWNER,CHANGE_GUILD_WAR_SPOT_OWNER,CHANGE_GUILD_WAR_SPOT_OWNER [Spot name] [Guild name/<EMPTY>],"Changes the owner of the Guild War spot.
If you enter as a guild name in ""<EMPTY>"" string, the spot will be initialized.",The specified spot or guild is not found.,,,,,
ADMINCMD,ADD_PREMIUM_COMMODITY,ADD_PREMIUM_COMMODITY,ADD_PREMIUM_COMMODITY [Product ID],The specified product is not found.,The specified product is not found.,,,,,
ADMINCMD,SUMMON_CAMPFIRE,SUMMON_CAMPFIRE,SUMMON_CAMPFIRE,The zone does not exist.,The zone does not exist.,,,,,
ADMINCMD,SET_DEMOLITION,SET_DEMOLITION,SET_DEMOLITION [Radius],"Adds the Slaughter effect that kills nearby enemies by a single blow.
The Slaughter effect will disappear if you set the radius less than 0.",,,,,,
ADMINCMD,PREPARE_RECIPE,PREPARE_RECIPE,PREPARE_RECIPE [Recipe ID] [Count],Creates items necessary for cultivation and cooking.,The Recipe does not exist.,,,,,
ADMINCMD,RESET_GAME_HISTORY,RESET_GAME_HISTORY,RESET_GAME_HISTORY,Initializes the Adventure Journal.,,,,,,
ADMINCMD,UPDATE_GAME_HISTORY,UPDATE_GAME_HISTORY,UPDATE_GAME_HISTORY [AdventureJournal ID] [Offset],Updates the values of Adventure Journal.,The Adventure Journal does not exist.,,,,,
ADMINCMD,COMPLETE_GAME_HISTORY,COMPLETE_GAME_HISTORY,COMPLETE_GAME_HISTORY,Sets all the values of Adventure Journal to maximum.,,,,,,
ADMINCMD,MAKE_TATTER,MAKE_TATTER,MAKE_TATTER [Rate],Reduces the durability of the gears you're wearing by the specified rate.,,,,,,
ADMINCMD,CHANGE_CHANNEL,CHANGE_CHANNEL,CHANGE_CHANNEL [Channel ID],Changes the channel.,The channel system is currently deactivated.,,,,,
ADMINCMD,SHOW_CHANNEL,SHOW_CHANNEL,SHOW_CHANNEL,Displays information on the channel.,The channel system is currently deactivated.,,,,,
ADMINCMD,NOTIFY_CHANNEL,NOTIFY_CHANNEL,NOTIFY_CHANNEL [Channel ID] [Message],Displays announcements only to the current channel.,The channel system is currently deactivated.,,,,,
ADMINCMD,TOGGLE_CHANNEL,TOGGLE_CHANNEL,TOGGLE_CHANNEL [Channel ID] [0/1],Prevents any more users from entering the channel.,The channel system is currently deactivated.,,,,,
ADMINCMD,JOIN_CHAT_ROOM,JOIN_CHAT_ROOM,JOIN_CHAT_ROOM [Chat room ID] [0/1],"You will join the chat room.
0 = Private
1 = Public",The chat room does not exist.,,,,,
ADMINCMD,CLOSE_CHAT_ROOM,CLOSE_CHAT_ROOM,CLOSE_CHAT_ROOM [Chat room ID],Closes the chat room and expels all participants.,The chat room does not exist.,,,,,
ADMINCMD,GIVE_CHAT_ROOM_PENALTY,GIVE_CHAT_ROOM_PENALTY,GIVE_CHAT_ROOM_PENALTY [Character name] [Time],Bans the character from creating or joining a chat room.,The character does not exist.,,,,,
ADMINCMD,KICK_CHAT_ROOM_MEMBER,KICK_CHAT_ROOM_MEMBER,KICK_CHAT_ROOM_MEMBER [Character name],Expels the character from the chat room.,The character is not in the chat room.,,,,,
ADMINCMD,SET_CHAT_ROOM_MAX_COUNT,SET_CHAT_ROOM_MAX_COUNT,SET_CHAT_ROOM_MAX_COUNT [1~1000],Sets the maximum number of chat rooms.,,,,,,
ADMINCMD,IRON_WALL,IRON_WALL,IRON_WALL [0/1],Fixes all the damage you receive to 1.,,,,,,
ADMINCMD,DECREASE_LEVEL,DECREASE_LEVEL,"DECREASE_LEVEL
DECREASE_LEVEL [1~69]",Drops the level.,You cannot use the command while you are in the tutorial mode or dead.,,,,,
ADMINCMD,RESET_LOTTERY,RESET_LOTTERY,"RESET_LOTTERY
RESET_LOTTERY [Name]","Resets all the values related to the lottery.
Resets the current values of the specified lottery.",The specified lottery is not found.,,,,,
ADMINCMD,PLAY_ZONE,PLAY_ZONE,PLAY_ZONE [Zone ID] [Zone difficulty] [Score],"Adds the zone play records. 
If you enter ""/ZonePlay 0 0 0"", all the zone play records will be initialized.",No zone info or zone difficulty info is available.,,,,,
ADMINCMD,ADD_SERVICE_GAUGE,ADD_SERVICE_GAUGE,ADD_SERVICE_GAUGE [Gauge ID],Adds a service gauge.,The gauge is not found or you already have the same type of gauge.,,,,,
ADMINCMD,ENABLE_AUCTION,ENABLE_AUCTION,ENABLE_AUCTION [Minutes],Activate or deactivates the auction.,You must enter the duration of banning auction in minutes.,,,,,
ADMINCMD,DECREASE_ZONE_VISIT_COUNT,DECREASE_ZONE_VISIT_COUNT,DECREASE_ZONE_VISIT_COUNT [Zone ID] [Increase/decrease visits],Changes the number of visits you can make to the dungeon.,The selected object or information on the specified zone is not found.,,,,,
ADMINCMD,SET_DEBUG,SET_DEBUG,SET_DEBUG [0/1],Turns on or off the debug function of the selected NPC.,The selected object is not found or is not valid.,,,,,
ADMINCMD,ACTIVATE_SCENE_GRAPH_ENTITY,ACTIVATE_SCENE_GRAPH_ENTITY,ACTIVATE_SCENE_GRAPH_ENTITY [Entity ID] [0/1],Activates or deactivates the specified entity.,Invalid entity ID.,,,,,
ADMINCMD,ENCHANT_GEAR,ENCHANT_GEAR,ENCHANT_GEAR [0~15],Sets the enchant value of the gears you are wearing to the specified value.,You cannot use the command when you are dead or in Gigas state.,,,,,
ADMINCMD,THREAT,THREAT,THREAT,Displays the Threat Level (Aggro) list of the specified NPC.,The selected object is not found or is not valid.,,,,,
ADMINCMD,COMBAT_LOG,COMBAT_LOG,"COMBAT_LOG
COMBAT_LOG [0/1]",Displays the duration of battle and the damage it has caused.,,,,,,
ADMINCMD,CHANGE_KARMA,CHANGE_KARMA,CHANGE_KARMA [Misdeed] [Merits] [Karma],Changes the settings related to Karma.,,,,,,
